blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
14061,Room 1,955.9,1051.49,2.83,31
14061,Room 6,764.32,840.75,2.53,28
14061,Room 7,88.43,97.27,0.86,10
14061,Room 8,2387.67,2626.44,4.47,49
14061,Room 9,747.97,822.77,2.5,28
14061,Room 10,929.38,1022.31,2.79,31
14061,Room 11,376.85,414.54,1.77,20
14061,Room 12,164.16,180.58,1.17,13
14061,Room 13,839.97,923.97,2.65,29
14061,Room 14,323.18,355.5,1.64,18
14061,Room 15,655.83,721.41,2.34,26
14061,Room 16,1.19,1.31,0.1,2
14061,Room 17,257.27,283.0,1.47,17
14061,TOTAL,8492.13,9341.35,27.12,302
